train_speed,speed_limit,distance,braking_distance,signal_status,direction,risk_score,risk_level
120,80,152,759,GREEN,WEST,70,HIGH
100,100,1731,779,GREEN,NORTH,0,SAFE
123,120,1023,686,RED,WEST,60,MEDIUM
107,100,148,636,YELLOW,EAST,80,HIGH
125,100,1258,538,YELLOW,NORTH,40,MEDIUM
75,90,142,174,GREEN,SOUTH,40,MEDIUM
41,80,885,253,GREEN,EAST,0,SAFE
101,120,515,551,RED,NORTH,70,HIGH
129,100,1734,648,YELLOW,SOUTH,40,MEDIUM
120,120,1146,329,YELLOW,SOUTH,10,SAFE
114,120,1971,663,RED,SOUTH,30,MEDIUM
86,120,1977,127,RED,EAST,30,MEDIUM
49,90,1520,130,RED,WEST,30,MEDIUM
104,120,1825,218,GREEN,SOUTH,0,SAFE
108,120,1755,592,GREEN,WEST,0,SAFE
96,90,1060,190,GREEN,NORTH,30,MEDIUM
67,120,410,122,YELLOW,SOUTH,10,SAFE
107,80,394,133,YELLOW,EAST,40,MEDIUM
73,110,499,173,GREEN,WEST,0,SAFE
109,90,1690,674,GREEN,WEST,30,MEDIUM
103,120,444,179,GREEN,SOUTH,0,SAFE
56,120,646,738,GREEN,EAST,40,MEDIUM
125,120,223,535,YELLOW,NORTH,80,HIGH
112,90,1288,378,GREEN,WEST,30,MEDIUM
78,100,1424,410,RED,SOUTH,30,MEDIUM
65,80,787,305,RED,EAST,30,MEDIUM
93,100,875,353,RED,EAST,30,MEDIUM
75,80,901,429,GREEN,EAST,0,SAFE
97,90,1556,687,RED,WEST,60,MEDIUM
89,100,1133,234,GREEN,EAST,0,SAFE
101,80,271,305,GREEN,NORTH,70,HIGH
50,100,1534,219,YELLOW,WEST,10,SAFE
104,90,1547,371,GREEN,SOUTH,30,MEDIUM
88,100,1904,605,RED,NORTH,30,MEDIUM
101,120,1242,587,RED,SOUTH,30,MEDIUM
106,90,1953,729,RED,WEST,60,MEDIUM
106,120,1541,588,GREEN,SOUTH,0,SAFE
69,90,450,573,YELLOW,SOUTH,50,MEDIUM
57,100,1740,122,YELLOW,SOUTH,10,SAFE
64,120,1000,550,YELLOW,EAST,10,SAFE
59,90,486,705,RED,WEST,70,HIGH
104,120,1849,469,RED,SOUTH,30,MEDIUM
46,80,1409,254,YELLOW,NORTH,10,SAFE
79,120,1734,658,RED,SOUTH,30,MEDIUM
127,90,823,477,RED,EAST,60,MEDIUM
92,110,1675,211,RED,SOUTH,30,MEDIUM
118,90,1561,213,GREEN,EAST,30,MEDIUM
81,110,1910,350,GREEN,WEST,0,SAFE
67,100,1123,642,GREEN,SOUTH,0,SAFE
59,100,934,481,RED,NORTH,30,MEDIUM
121,80,154,381,YELLOW,SOUTH,80,HIGH
79,120,1144,557,YELLOW,WEST,10,SAFE
81,90,470,388,YELLOW,SOUTH,10,SAFE
115,100,478,582,YELLOW,SOUTH,80,HIGH
121,120,1008,740,GREEN,EAST,30,MEDIUM
54,90,1852,134,GREEN,SOUTH,0,SAFE
84,100,322,671,GREEN,NORTH,40,MEDIUM
122,110,1889,624,GREEN,WEST,30,MEDIUM
97,110,1160,324,GREEN,WEST,0,SAFE
91,100,408,257,GREEN,NORTH,0,SAFE
60,120,462,617,GREEN,WEST,40,MEDIUM
112,80,369,646,RED,SOUTH,100,HIGH
97,120,127,630,YELLOW,EAST,50,MEDIUM
58,80,1833,476,YELLOW,EAST,10,SAFE
64,90,1613,307,RED,SOUTH,30,MEDIUM
104,110,1840,777,GREEN,EAST,0,SAFE
62,90,870,392,YELLOW,EAST,10,SAFE
114,80,297,393,RED,NORTH,100,HIGH
103,120,1842,184,YELLOW,EAST,10,SAFE
127,80,207,739,YELLOW,NORTH,80,HIGH
116,110,1449,316,YELLOW,NORTH,40,MEDIUM
57,90,620,743,YELLOW,NORTH,50,MEDIUM
63,100,1338,507,GREEN,WEST,0,SAFE
73,100,1131,230,YELLOW,SOUTH,10,SAFE
115,120,1933,474,GREEN,NORTH,0,SAFE
118,100,598,452,RED,SOUTH,60,MEDIUM
122,100,1149,288,GREEN,SOUTH,30,MEDIUM
42,120,1866,589,GREEN,EAST,0,SAFE
110,80,290,705,YELLOW,NORTH,80,HIGH
106,120,1767,497,RED,WEST,30,MEDIUM
129,100,1402,526,GREEN,NORTH,30,MEDIUM
40,100,945,236,GREEN,SOUTH,0,SAFE
124,110,1338,270,YELLOW,WEST,40,MEDIUM
63,90,1366,268,RED,EAST,30,MEDIUM
76,110,497,748,YELLOW,NORTH,50,MEDIUM
98,100,720,195,YELLOW,WEST,10,SAFE
94,90,927,183,YELLOW,SOUTH,40,MEDIUM
41,110,208,273,GREEN,EAST,40,MEDIUM
83,80,370,531,RED,NORTH,100,HIGH
89,120,1528,300,GREEN,NORTH,0,SAFE
74,110,918,770,RED,SOUTH,30,MEDIUM
46,90,1007,184,RED,SOUTH,30,MEDIUM
59,120,806,597,GREEN,NORTH,0,SAFE
86,110,1981,675,GREEN,EAST,0,SAFE
100,80,1224,520,RED,EAST,60,MEDIUM
99,120,1584,686,GREEN,NORTH,0,SAFE
54,110,1093,708,YELLOW,EAST,10,SAFE
46,110,1201,525,RED,SOUTH,30,MEDIUM
91,80,1227,417,YELLOW,SOUTH,40,MEDIUM
101,110,1169,151,GREEN,SOUTH,0,SAFE
87,120,685,652,YELLOW,WEST,10,SAFE
121,90,1121,322,YELLOW,NORTH,40,MEDIUM
83,110,198,118,YELLOW,EAST,10,SAFE
44,120,1431,131,GREEN,EAST,0,SAFE
96,120,1758,680,GREEN,NORTH,0,SAFE
70,90,1129,557,GREEN,SOUTH,0,SAFE
105,90,1311,633,RED,WEST,60,MEDIUM
85,90,1364,417,GREEN,EAST,0,SAFE
42,120,1364,487,YELLOW,WEST,10,SAFE
79,90,485,457,YELLOW,EAST,10,SAFE
94,110,1845,794,RED,NORTH,30,MEDIUM
54,110,1927,318,RED,SOUTH,30,MEDIUM
50,80,1728,268,GREEN,SOUTH,0,SAFE
79,120,1775,453,RED,NORTH,30,MEDIUM
92,120,1066,225,GREEN,EAST,0,SAFE
76,90,1358,274,RED,NORTH,30,MEDIUM
54,80,1614,707,RED,WEST,30,MEDIUM
123,100,1819,264,RED,WEST,60,MEDIUM
76,80,1078,783,GREEN,WEST,0,SAFE
113,100,1377,255,GREEN,NORTH,30,MEDIUM
84,100,487,145,YELLOW,WEST,10,SAFE
117,100,255,313,YELLOW,NORTH,80,HIGH
47,90,786,352,GREEN,SOUTH,0,SAFE
124,120,1328,788,GREEN,EAST,30,MEDIUM
80,80,1588,657,YELLOW,NORTH,10,SAFE
47,90,1927,184,GREEN,SOUTH,0,SAFE
71,90,413,584,RED,SOUTH,70,HIGH
61,120,1499,782,RED,WEST,30,MEDIUM
114,110,997,775,GREEN,SOUTH,30,MEDIUM
92,100,489,793,RED,SOUTH,70,HIGH
121,80,1498,795,YELLOW,WEST,40,MEDIUM
114,80,132,260,YELLOW,SOUTH,80,HIGH
126,110,863,341,GREEN,SOUTH,30,MEDIUM
52,100,526,608,YELLOW,EAST,50,MEDIUM
122,100,1461,361,RED,EAST,60,MEDIUM
52,120,1092,670,GREEN,NORTH,0,SAFE
119,100,574,716,YELLOW,NORTH,80,HIGH
61,110,877,168,GREEN,EAST,0,SAFE
65,110,1774,738,RED,EAST,30,MEDIUM
99,90,1401,673,GREEN,NORTH,30,MEDIUM
91,80,406,538,YELLOW,SOUTH,80,HIGH
112,90,1445,209,RED,EAST,60,MEDIUM
123,90,755,734,GREEN,EAST,30,MEDIUM
78,110,270,211,GREEN,WEST,0,SAFE
116,90,1332,346,YELLOW,SOUTH,40,MEDIUM
123,80,1213,610,YELLOW,WEST,40,MEDIUM
88,110,376,224,GREEN,EAST,0,SAFE
127,100,1480,113,GREEN,SOUTH,30,MEDIUM
102,110,171,732,RED,NORTH,70,HIGH
52,100,1786,451,YELLOW,EAST,10,SAFE
112,110,1011,486,RED,WEST,60,MEDIUM
53,80,604,766,GREEN,EAST,40,MEDIUM
44,110,885,643,RED,EAST,30,MEDIUM
92,80,983,574,YELLOW,EAST,40,MEDIUM
100,90,1676,583,GREEN,WEST,30,MEDIUM
112,80,1153,156,YELLOW,SOUTH,40,MEDIUM
119,100,1609,401,GREEN,NORTH,30,MEDIUM
56,120,872,573,YELLOW,EAST,10,SAFE
40,80,1378,326,GREEN,SOUTH,0,SAFE
76,90,488,362,YELLOW,SOUTH,10,SAFE
95,80,562,771,GREEN,SOUTH,70,HIGH
40,80,1200,663,GREEN,NORTH,0,SAFE
99,80,891,636,YELLOW,SOUTH,40,MEDIUM
79,110,1131,458,GREEN,EAST,0,SAFE
130,80,696,649,GREEN,EAST,30,MEDIUM
57,90,1447,460,RED,SOUTH,30,MEDIUM
51,100,1311,562,RED,NORTH,30,MEDIUM
98,80,294,690,RED,EAST,100,HIGH
78,90,109,630,RED,NORTH,70,HIGH
43,100,1678,592,YELLOW,EAST,10,SAFE
103,90,1866,141,RED,NORTH,60,MEDIUM
81,120,1844,595,RED,NORTH,30,MEDIUM
75,90,1538,553,GREEN,SOUTH,0,SAFE
44,120,1753,745,YELLOW,NORTH,10,SAFE
98,110,316,481,RED,SOUTH,70,HIGH
129,100,1123,458,RED,NORTH,60,MEDIUM
109,110,344,712,YELLOW,WEST,50,MEDIUM
116,120,1122,303,GREEN,NORTH,0,SAFE
127,110,441,633,YELLOW,NORTH,80,HIGH
40,100,917,780,GREEN,NORTH,0,SAFE
69,90,686,319,GREEN,EAST,0,SAFE
99,120,1953,490,RED,EAST,30,MEDIUM
88,90,350,321,GREEN,EAST,0,SAFE
110,100,1943,121,RED,EAST,60,MEDIUM
74,90,326,259,YELLOW,EAST,10,SAFE
41,100,178,497,GREEN,SOUTH,40,MEDIUM
58,120,1603,484,RED,NORTH,30,MEDIUM
128,90,1585,702,GREEN,EAST,30,MEDIUM
109,80,258,232,YELLOW,EAST,40,MEDIUM
41,120,507,698,GREEN,WEST,40,MEDIUM
44,100,865,220,RED,SOUTH,30,MEDIUM
76,110,1573,190,RED,EAST,30,MEDIUM
108,80,567,665,YELLOW,SOUTH,80,HIGH
122,120,1373,440,GREEN,NORTH,30,MEDIUM
105,100,379,662,YELLOW,NORTH,80,HIGH
66,120,1093,402,YELLOW,EAST,10,SAFE
51,80,1709,246,YELLOW,EAST,10,SAFE
106,100,1886,699,RED,NORTH,60,MEDIUM
102,100,1883,252,GREEN,EAST,30,MEDIUM
98,100,1988,429,GREEN,WEST,0,SAFE
97,90,643,626,YELLOW,NORTH,40,MEDIUM
52,80,572,103,YELLOW,NORTH,10,SAFE
96,80,691,161,GREEN,EAST,30,MEDIUM
64,120,692,191,YELLOW,WEST,10,SAFE
71,90,480,102,YELLOW,SOUTH,10,SAFE
67,100,1856,398,YELLOW,EAST,10,SAFE
77,80,522,523,YELLOW,NORTH,50,MEDIUM
49,110,1743,383,GREEN,SOUTH,0,SAFE
88,80,888,603,GREEN,EAST,30,MEDIUM
113,80,941,451,YELLOW,WEST,40,MEDIUM
126,110,1302,264,GREEN,SOUTH,30,MEDIUM
66,100,427,278,GREEN,SOUTH,0,SAFE
47,100,1194,156,YELLOW,EAST,10,SAFE
121,100,1346,682,YELLOW,WEST,40,MEDIUM
87,100,1234,701,YELLOW,WEST,10,SAFE
97,80,1106,604,GREEN,NORTH,30,MEDIUM
56,90,135,375,YELLOW,NORTH,50,MEDIUM
111,100,742,763,RED,WEST,100,HIGH
97,110,872,555,YELLOW,EAST,10,SAFE
105,110,452,527,RED,EAST,70,HIGH
45,90,270,652,YELLOW,WEST,50,MEDIUM
119,110,1468,767,GREEN,SOUTH,30,MEDIUM
43,120,1438,414,RED,WEST,30,MEDIUM
78,80,730,432,YELLOW,WEST,10,SAFE
47,100,1198,742,YELLOW,WEST,10,SAFE
70,90,882,582,RED,NORTH,30,MEDIUM
100,100,390,375,YELLOW,NORTH,10,SAFE
84,80,1800,732,RED,NORTH,60,MEDIUM
121,90,1156,709,RED,SOUTH,60,MEDIUM
115,80,1980,214,YELLOW,NORTH,40,MEDIUM
53,100,1797,236,RED,EAST,30,MEDIUM
115,90,156,321,GREEN,WEST,70,HIGH
60,120,1790,127,YELLOW,NORTH,10,SAFE
101,110,187,563,GREEN,NORTH,40,MEDIUM
127,90,814,543,RED,EAST,60,MEDIUM
63,120,1464,277,RED,EAST,30,MEDIUM
50,90,1045,536,GREEN,SOUTH,0,SAFE
121,100,1935,234,RED,NORTH,60,MEDIUM
51,110,813,752,YELLOW,WEST,10,SAFE
62,110,623,713,YELLOW,WEST,50,MEDIUM
123,90,358,180,GREEN,NORTH,30,MEDIUM
66,110,1654,299,YELLOW,EAST,10,SAFE
65,90,1697,275,YELLOW,NORTH,10,SAFE
73,120,1766,179,GREEN,WEST,0,SAFE
55,90,1261,775,RED,SOUTH,30,MEDIUM
85,90,970,514,GREEN,EAST,0,SAFE
99,80,475,248,YELLOW,WEST,40,MEDIUM
67,110,569,534,RED,SOUTH,30,MEDIUM
123,80,926,223,YELLOW,NORTH,40,MEDIUM
53,120,1057,237,GREEN,EAST,0,SAFE
121,100,201,460,GREEN,WEST,70,HIGH
117,90,591,514,RED,WEST,60,MEDIUM
46,80,1199,480,RED,WEST,30,MEDIUM
119,120,1453,735,YELLOW,NORTH,10,SAFE
87,90,972,170,YELLOW,SOUTH,10,SAFE
90,90,1388,364,RED,SOUTH,30,MEDIUM
55,90,494,527,YELLOW,EAST,50,MEDIUM
123,100,437,383,RED,NORTH,60,MEDIUM
94,120,1600,392,GREEN,EAST,0,SAFE
106,80,668,610,RED,NORTH,60,MEDIUM
117,120,1476,480,GREEN,WEST,0,SAFE
72,90,932,650,RED,WEST,30,MEDIUM
48,100,1885,271,GREEN,NORTH,0,SAFE
107,80,641,129,GREEN,SOUTH,30,MEDIUM
99,120,163,425,RED,WEST,70,HIGH
113,120,713,520,GREEN,WEST,0,SAFE
123,80,342,705,RED,EAST,100,HIGH
47,120,1433,313,YELLOW,NORTH,10,SAFE
40,120,806,615,RED,SOUTH,30,MEDIUM
68,110,688,454,GREEN,NORTH,0,SAFE
65,90,742,249,RED,EAST,30,MEDIUM
88,80,1193,119,RED,SOUTH,60,MEDIUM
119,120,1442,502,RED,NORTH,30,MEDIUM
111,80,279,764,RED,SOUTH,100,HIGH
107,80,1668,544,GREEN,SOUTH,30,MEDIUM
45,80,1429,470,YELLOW,EAST,10,SAFE
95,90,311,235,GREEN,EAST,30,MEDIUM
54,90,778,615,GREEN,NORTH,0,SAFE
127,120,948,401,GREEN,EAST,30,MEDIUM
93,90,924,595,GREEN,SOUTH,30,MEDIUM
130,100,319,727,GREEN,WEST,70,HIGH
86,110,1567,479,RED,SOUTH,30,MEDIUM
111,80,1250,193,RED,NORTH,60,MEDIUM
95,90,1912,266,RED,EAST,60,MEDIUM
41,100,1899,195,YELLOW,SOUTH,10,SAFE
83,100,1124,551,GREEN,WEST,0,SAFE
89,110,1109,365,YELLOW,NORTH,10,SAFE
45,90,1871,677,YELLOW,NORTH,10,SAFE
81,80,1624,713,GREEN,WEST,30,MEDIUM
47,80,1761,326,GREEN,EAST,0,SAFE
95,110,1567,126,GREEN,NORTH,0,SAFE
40,90,1470,499,RED,NORTH,30,MEDIUM
72,90,193,744,RED,NORTH,70,HIGH
97,100,939,791,YELLOW,WEST,10,SAFE
85,90,676,171,RED,WEST,30,MEDIUM
51,80,447,598,RED,EAST,70,HIGH
64,110,1027,269,YELLOW,SOUTH,10,SAFE
81,110,994,466,GREEN,EAST,0,SAFE
68,100,663,133,GREEN,WEST,0,SAFE
121,80,1696,226,RED,EAST,60,MEDIUM
58,100,164,635,RED,NORTH,70,HIGH
88,110,371,279,YELLOW,SOUTH,10,SAFE
96,110,203,531,GREEN,SOUTH,40,MEDIUM
61,90,1173,111,YELLOW,NORTH,10,SAFE
40,100,782,107,YELLOW,NORTH,10,SAFE
111,110,1249,605,RED,NORTH,60,MEDIUM
68,80,1012,733,RED,WEST,30,MEDIUM
64,90,626,571,YELLOW,NORTH,10,SAFE
118,90,1037,290,YELLOW,WEST,40,MEDIUM
102,110,1789,508,YELLOW,WEST,10,SAFE
90,120,489,361,YELLOW,WEST,10,SAFE
67,100,1590,185,RED,EAST,30,MEDIUM
54,100,1522,455,YELLOW,NORTH,10,SAFE
89,120,1872,665,YELLOW,NORTH,10,SAFE
90,90,1021,476,GREEN,EAST,0,SAFE
93,120,425,489,RED,NORTH,70,HIGH
73,90,1819,470,YELLOW,NORTH,10,SAFE
40,120,1292,236,GREEN,NORTH,0,SAFE
110,110,832,340,GREEN,WEST,0,SAFE
106,100,325,142,RED,NORTH,60,MEDIUM
121,110,1556,786,YELLOW,SOUTH,40,MEDIUM
119,100,1253,481,GREEN,SOUTH,30,MEDIUM
64,100,1938,627,YELLOW,SOUTH,10,SAFE
90,90,550,360,GREEN,NORTH,0,SAFE
42,90,1890,152,YELLOW,WEST,10,SAFE
103,90,1825,655,YELLOW,SOUTH,40,MEDIUM
51,80,696,181,GREEN,EAST,0,SAFE
117,110,1836,123,YELLOW,SOUTH,40,MEDIUM
111,100,1156,254,GREEN,EAST,30,MEDIUM
123,100,370,215,YELLOW,NORTH,40,MEDIUM
126,120,595,567,YELLOW,SOUTH,40,MEDIUM
130,90,643,175,GREEN,SOUTH,30,MEDIUM
76,90,1279,312,GREEN,NORTH,0,SAFE
42,80,251,765,RED,WEST,70,HIGH
105,80,1854,692,RED,NORTH,60,MEDIUM
99,110,1714,511,GREEN,EAST,0,SAFE
120,110,292,590,GREEN,SOUTH,70,HIGH
75,90,640,461,GREEN,WEST,0,SAFE
80,80,1559,543,YELLOW,SOUTH,10,SAFE
104,80,762,495,GREEN,NORTH,30,MEDIUM
78,80,1128,428,RED,WEST,30,MEDIUM
43,90,968,746,GREEN,EAST,0,SAFE
66,90,515,406,GREEN,EAST,0,SAFE
53,100,1585,417,GREEN,SOUTH,0,SAFE
103,80,1392,776,RED,WEST,60,MEDIUM
81,110,105,268,GREEN,WEST,40,MEDIUM
40,100,1907,483,RED,EAST,30,MEDIUM
40,120,140,455,GREEN,SOUTH,40,MEDIUM
104,80,343,212,GREEN,WEST,30,MEDIUM
57,90,919,128,GREEN,WEST,0,SAFE
63,80,1100,173,RED,NORTH,30,MEDIUM
71,90,279,467,GREEN,SOUTH,40,MEDIUM
94,100,259,393,YELLOW,SOUTH,50,MEDIUM
82,100,1139,771,GREEN,NORTH,0,SAFE
77,90,174,731,YELLOW,SOUTH,50,MEDIUM
60,120,1198,223,RED,NORTH,30,MEDIUM
120,110,1299,211,YELLOW,SOUTH,40,MEDIUM
107,100,1362,148,YELLOW,EAST,40,MEDIUM
101,80,703,277,GREEN,EAST,30,MEDIUM
106,110,1620,761,GREEN,EAST,0,SAFE
81,100,1241,325,RED,NORTH,30,MEDIUM
73,100,1242,588,YELLOW,WEST,10,SAFE
86,120,411,395,YELLOW,EAST,10,SAFE
105,90,1491,561,RED,SOUTH,60,MEDIUM
104,120,339,685,YELLOW,SOUTH,50,MEDIUM
59,120,646,497,GREEN,NORTH,0,SAFE
130,80,1330,672,GREEN,NORTH,30,MEDIUM
113,90,1511,261,RED,WEST,60,MEDIUM
69,80,770,109,RED,WEST,30,MEDIUM
72,110,1180,679,GREEN,EAST,0,SAFE
97,110,129,375,RED,SOUTH,70,HIGH
78,80,345,537,RED,NORTH,70,HIGH
105,90,374,453,GREEN,EAST,70,HIGH
126,120,504,617,RED,EAST,100,HIGH
123,100,173,220,YELLOW,SOUTH,80,HIGH
52,90,269,719,RED,NORTH,70,HIGH
117,110,331,606,RED,WEST,100,HIGH
84,100,1436,255,RED,SOUTH,30,MEDIUM
47,100,1751,335,RED,WEST,30,MEDIUM
118,80,1371,523,YELLOW,NORTH,40,MEDIUM
110,110,249,552,GREEN,SOUTH,40,MEDIUM
76,100,586,168,RED,NORTH,30,MEDIUM
78,120,150,228,RED,WEST,70,HIGH
83,110,849,296,GREEN,NORTH,0,SAFE
62,100,1950,118,YELLOW,NORTH,10,SAFE
88,90,752,236,YELLOW,SOUTH,10,SAFE
42,90,291,619,GREEN,EAST,40,MEDIUM
119,100,981,451,GREEN,WEST,30,MEDIUM
48,110,1040,654,GREEN,EAST,0,SAFE
106,110,988,522,GREEN,NORTH,0,SAFE
40,110,1689,293,YELLOW,WEST,10,SAFE
105,90,1699,455,GREEN,EAST,30,MEDIUM
125,110,825,262,GREEN,SOUTH,30,MEDIUM
